Found 265 batch files (190 logical batches, 32 multi-part):
  - Edge file:packages/engine/Specs/Scene/TimeDynamicPointCloudSpec.js → file:packages/engine/Specs/createCanvas.js (imports): dropped, missing target 'file:packages/engine/Specs/createCanvas.js'
  - Edge file:packages/engine/Specs/Scene/TimeDynamicPointCloudSpec.js → file:packages/engine/Specs/createScene.js (imports): dropped, missing target 'file:packages/engine/Specs/createScene.js'
  - Edge file:packages/engine/Specs/Scene/TimeDynamicPointCloudSpec.js → file:packages/engine/Specs/pollToPromise.js (imports): dropped, missing target 'file:packages/engine/Specs/pollToPromise.js'
  - Edge file:packages/engine/Specs/Scene/TranslucentTileClassificationSpec.js → file:packages/engine/Specs/createScene.js (imports): dropped, missing target 'file:packages/engine/Specs/createScene.js'
  - Edge file:packages/engine/Specs/Scene/UrlTemplateImageryProviderSpec.js → file:packages/engine/Specs/pollToPromise.js (imports): dropped, missing target 'file:packages/engine/Specs/pollToPromise.js'
  - Edge file:packages/engine/Specs/Scene/Vector3DTileClampedPolylinesSpec.js → file:packages/engine/Specs/Cesium3DTilesTester.js (imports): dropped, missing target 'file:packages/engine/Specs/Cesium3DTilesTester.js'
  - Edge file:packages/engine/Specs/Scene/Vector3DTileClampedPolylinesSpec.js → file:packages/engine/Specs/createScene.js (imports): dropped, missing target 'file:packages/engine/Specs/createScene.js'
  - Edge file:packages/engine/Specs/Scene/Vector3DTileContentSpec.js → file:packages/engine/Specs/Cesium3DTilesTester.js (imports): dropped, missing target 'file:packages/engine/Specs/Cesium3DTilesTester.js'
  - Edge file:packages/engine/Specs/Scene/Vector3DTileContentSpec.js → file:packages/engine/Specs/createScene.js (imports): dropped, missing target 'file:packages/engine/Specs/createScene.js'
  - Edge file:packages/engine/Specs/Scene/Vector3DTileGeometrySpec.js → file:packages/engine/Specs/createScene.js (imports): dropped, missing target 'file:packages/engine/Specs/createScene.js'
  - Edge file:packages/engine/Specs/Scene/Vector3DTileGeometrySpec.js → file:packages/engine/Specs/pollToPromise.js (imports): dropped, missing target 'file:packages/engine/Specs/pollToPromise.js'
  - Edge file:packages/engine/Specs/Scene/Vector3DTilePointsSpec.js → file:packages/engine/Specs/createScene.js (imports): dropped, missing target 'file:packages/engine/Specs/createScene.js'
  - Edge file:packages/engine/Specs/Scene/Vector3DTilePointsSpec.js → file:packages/engine/Specs/pollToPromise.js (imports): dropped, missing target 'file:packages/engine/Specs/pollToPromise.js'
  - Edge file:packages/engine/Specs/Scene/Vector3DTilePolygonsSpec.js → file:packages/engine/Specs/createScene.js (imports): dropped, missing target 'file:packages/engine/Specs/createScene.js'
  - Edge file:packages/engine/Specs/Scene/Vector3DTilePolygonsSpec.js → file:packages/engine/Specs/pollToPromise.js (imports): dropped, missing target 'file:packages/engine/Specs/pollToPromise.js'
  - Edge file:packages/engine/Specs/Scene/Vector3DTilePolylinesSpec.js → file:packages/engine/Specs/createScene.js (imports): dropped, missing target 'file:packages/engine/Specs/createScene.js'
  - Edge file:packages/engine/Specs/Scene/Vector3DTilePolylinesSpec.js → file:packages/engine/Specs/pollToPromise.js (imports): dropped, missing target 'file:packages/engine/Specs/pollToPromise.js'
  - Edge file:packages/engine/Specs/Scene/ViewportQuadSpec.js → file:packages/engine/Specs/createScene.js (imports): dropped, missing target 'file:packages/engine/Specs/createScene.js'
  - Edge file:packages/engine/Specs/Scene/VoxelCellSpec.js → file:packages/engine/Specs/createScene.js (imports): dropped, missing target 'file:packages/engine/Specs/createScene.js'
  - Edge file:packages/engine/Specs/Scene/VoxelCellSpec.js → file:packages/engine/Specs/pollToPromise.js (imports): dropped, missing target 'file:packages/engine/Specs/pollToPromise.js'
  - Edge file:packages/engine/Specs/Scene/VoxelPrimitiveSpec.js → file:packages/engine/Specs/createScene.js (imports): dropped, missing target 'file:packages/engine/Specs/createScene.js'
  - Edge file:packages/engine/Specs/Scene/VoxelPrimitiveSpec.js → file:packages/engine/Specs/pollToPromise.js (imports): dropped, missing target 'file:packages/engine/Specs/pollToPromise.js'
  - Edge file:packages/engine/Specs/Scene/VoxelRenderResourcesSpec.js → file:packages/engine/Specs/createScene.js (imports): dropped, missing target 'file:packages/engine/Specs/createScene.js'
